Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,word,color,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,sound_1.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_3.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85586750000948,10.85586750000948,3.270000161137432e-05,[0.5986111111111111],[-0.3951388888888889],[1],[0],[0],[1.2218965999927605],['image_next'],,,,,,,,,,,,,,,,,,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,blue,b,0,0,0,0,0,0,0,5,,,,,,,,,,,12.068369200002053,12.068369200002053,12.068369200002053,12.068369200002053,space,1.748725600002217,13.947631900009583,13.94013047000626,13.947631900009583,13.947631900009583,13.947631900009583,13.947631900009583,13.947631900009583,13.947631900009583,space,15.431250300011015,b,9.570636200005538,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,29.493328500000644,29.483757459998014,29.493328500000644,29.493328500000644,29.493328500000644,29.493328500000644,29.493328500000644,29.493328500000644,space,1.9437835999997333,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,31.54292560000613,31.536356159998103,31.54292560000613,31.54292560000613,31.54292560000613,31.54292560000613,31.54292560000613,31.54292560000613,space,1.109421300003305,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,3,3,12,,,,,,,,,,,,,,,,,32.768926000004285,32.75496176000452,32.768926000004285,32.768926000004285,32.768926000004285,32.768926000004285,32.768926000004285,32.768926000004285,space,0.450284600010491,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,33.343901500003994,33.335726560009064,33.343901500003994,33.343901500003994,33.343901500003994,33.343901500003994,33.343901500003994,33.343901500003994,space,0.13014370000746567,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,33.593259700006456,33.58399715999549,33.593259700006456,33.593259700006456,33.593259700006456,33.593259700006456,33.593259700006456,33.593259700006456,space,0.2797835999954259,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,33.99476560000039,33.987275060007235,33.99476560000039,33.99476560000039,33.99476560000039,33.99476560000039,33.99476560000039,33.99476560000039,space,0.07271229999605566,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,blue,b,0,0,0,0,0,7,7,19,,,,,,,,,,,,,,,,,34.17758600000525,34.16725696000795,34.17758600000525,34.17758600000525,34.17758600000525,34.17758600000525,34.17758600000525,34.17758600000525,space,0.07069839999894612,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,red,r,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,34.35720240000228,34.348649959999605,34.35720240000228,34.35720240000228,34.35720240000228,34.35720240000228,34.35720240000228,34.35720240000228,space,0.10251720000815112,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,9,9,14,,,,,,,,,,,,,,,,,34.576092200004496,34.56400116000732,34.576092200004496,34.576092200004496,34.576092200004496,34.576092200004496,34.576092200004496,34.576092200004496,space,0.3433688000077382,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,10,10,17,,,,,,,,,,,,,,,,,35.05155650000961,35.03884046999738,35.05155650000961,35.05155650000961,35.05155650000961,35.05155650000961,35.05155650000961,35.05155650000961,space,0.09973290000925772,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,red,r,0,0,0,0,0,11,11,18,,,,,,,,,,,,,,,,,35.27114799999981,35.26192125999951,35.27114799999981,35.27114799999981,35.27114799999981,35.27114799999981,35.27114799999981,35.27114799999981,space,0.06220640000537969,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,35.461269200008246,35.451343659998386,35.461269200008246,35.461269200008246,35.461269200008246,35.461269200008246,35.461269200008246,35.461269200008246,space,0.07130019999749493,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,35.647528400004376,35.6362726600084,35.647528400004376,35.647528400004376,35.647528400004376,35.647528400004376,35.647528400004376,35.647528400004376,space,0.0548242999939248,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,RED,red,r,0,0,0,0,0,14,14,3,,,,,,,,,,,,,,,,,35.81940790000954,35.803688760005755,35.81940790000954,35.81940790000954,35.81940790000954,35.81940790000954,35.81940790000954,35.81940790000954,space,0.062148099998012185,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,15,15,16,,,,,,,,,,,,,,,,,36.00788150000153,36.00830536999857,36.00788150000153,36.00788150000153,36.00788150000153,36.00788150000153,36.00788150000153,36.00788150000153,space,0.05917069999850355,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,16,16,2,,,,,,,,,,,,,,,,,36.18455079999694,36.177865260007096,36.18455079999694,36.18455079999694,36.18455079999694,36.18455079999694,36.18455079999694,36.18455079999694,space,0.0689898999989964,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,blue,b,0,0,0,0,0,17,17,13,,,,,,,,,,,,,,,,,36.381682599996566,36.368582259997495,36.381682599996566,36.381682599996566,36.381682599996566,36.381682599996566,36.381682599996566,36.381682599996566,space,0.06494410001323558,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,BLUE,red,r,0,0,0,0,0,18,18,15,,,,,,,,,,,,,,,,,36.561061600004905,36.55177226000815,36.561061600004905,36.561061600004905,36.561061600004905,36.561061600004905,36.561061600004905,36.561061600004905,space,0.08346789999632165,None,,,001,2023-09-28_17h45.48.813,untitled,2022.2.5,60.07651344965301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7666198000079,36.75240036000032,36.7666198000079,36.7666198000079,36.7666198000079,36.7666198000079,36.7666198000079,36.7666198000079,,,,,,,,,,,
