Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.corr,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.147783199965488,18.147783199965488,5.3099996875971556e-05,[0.6027777777777777],[-0.3923611111111111],[1],[0],[0],[1.8789071000064723],['image_next'],,,,,,,,,,,,,,,,,,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,20.026087399979588,20.026087399979588,20.026087399979588,20.026087399979588,['space'],[3.3296824999852106],50.001134200021625,50.001134200021625,50.001134200021625,50.001134200021625,50.001134200021625,50.001134200021625,space,0,None,1.2653554999851622,0.43547520000720397,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,50.55985109996982,50.55985109996982,50.55985109996982,50.55985109996982,['space'],[1.8760617999942042],82.77402140002232,82.77402140002232,82.77402140002232,82.77402140002232,82.77402140002232,82.77402140002232,space,0,None,1.0418429999845102,0.27734079997753724,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,83.20243429997936,83.20243429997936,83.20243429997936,83.20243429997936,['space'],[0.8226185999810696],122.20186149998335,122.20186149998335,122.20186149998335,122.20186149998335,122.20186149998335,122.20186149998335,space,0,None,2.2216954000177793,0.22432090004440397,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,122.56175950000761,122.56175950000761,122.56175950000761,122.56175950000761,['space'],[0.9781357999891043],212.14128340000752,212.14128340000752,212.14128340000752,212.14128340000752,212.14128340000752,212.14128340000752,space,0,None,3.553940000012517,7.621211100020446,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,219.87670540000545,219.87670540000545,219.87670540000545,219.87670540000545,['space'],[0.9719590999884531],329.0639172999654,329.0639172999654,329.0639172999654,329.0639172999654,329.0639172999654,329.0639172999654,space,0,None,1.625855100050103,1.8429323000018485,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,331.191671699984,331.191671699984,331.191671699984,331.191671699984,['space'],[39.869353500020225],487.20858009997755,487.20858009997755,487.20858009997755,487.20858009997755,487.20858009997755,487.20858009997755,space,0,None,1.7409597000223584,3.116680399980396,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,490.79416549997404,490.79416549997404,490.79416549997404,490.79416549997404,['space'],[1.1627419000142254],538.8252754000132,538.8252754000132,538.8252754000132,538.8252754000132,538.8252754000132,538.8252754000132,space,0,None,0.9803882000269368,4.248849399969913,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,543.4135117999977,543.4135117999977,543.4135117999977,543.4135117999977,['space'],[0.7431291000102647],594.1784844999784,594.1784844999784,594.1784844999784,594.1784844999784,594.1784844999784,594.1784844999784,space,0,None,12.12099699996179,7.529061800043564,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,601.954001999984,601.954001999984,601.954001999984,601.954001999984,['space'],[0.9664339000009932],635.3764122999855,635.3764122999855,635.3764122999855,635.3764122999855,635.3764122999855,635.3764122999855,space,0,None,1.3536473999847658,0.7843631000141613,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,0,9,9,9,,,,,,,,,,,,,,,,,,,636.5015638999757,636.5015638999757,636.5015638999757,636.5015638999757,['space'],[0.9221219000173733],752.6814079000033,752.6814079000033,752.6814079000033,752.6814079000033,752.6814079000033,752.6814079000033,space,0,None,1.7945295000099577,1.1889263999764808,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,0,10,10,10,,,,,,,,,,,,,,,,,,,754.2589865999762,754.2589865999762,754.2589865999762,754.2589865999762,['space'],[0.9286488000070676],813.7746614000062,813.7746614000062,813.7746614000062,813.7746614000062,813.7746614000062,813.7746614000062,space,0,None,5.890888699970674,0.14659340004436672,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,0,11,11,11,,,,,,,,,,,,,,,,,,,814.2367017000215,814.2367017000215,814.2367017000215,814.2367017000215,['space'],[0.7947307999711484],917.9899959000177,917.9899959000177,917.9899959000177,917.9899959000177,917.9899959000177,917.9899959000177,space,0,None,2.0414894000277855,0.6964375000097789,definitiv,001,2023-10-10_17h16.21.588,Demo_timePStroop,2022.2.5,59.99354469432618,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919.4083033999777,919.4083033999777,919.4083033999777,919.4083033999777,['space'],[76.89776950003579],1072.1156486999826,1072.1156486999826,1072.1156486999826,1072.1156486999826,1072.1156486999826,1072.1156486999826,None,0,g,0.8059919999795966,,,,,,,,
